variable,col1,col2,col3,col4,col5,Sector,Subsector,Technology,Fuel,CCS_flag
Final Energy|Residential and Commercial|Heating|Cooking,Final Energy,Residential and Commercial,Heating,Cooking,,Heating,Cooking,,,
Final Energy|Residential and Commercial|Residential|Heating|Cooking,Final Energy,Residential and Commercial,Residential,Heating,Cooking,Residential,Heating,Cooking,,
Trade|Secondary Energy|Electricity|Value,Trade,Secondary Energy,Electricity,Value,,Power,Electricity,Trade,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Hotels,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Offices,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Residential and Commercial|Ofice equipment,Final Energy,Residential and Commercial,Ofice equipment,,,Ofice equipment,,,,
Energy Service|Floor Space|Residential and Commercial,Energy Service,Floor Space,Residential and Commercial,,,Floor Space,Residential and Commercial,,,
Discount rate|Economy,Discount rate,Economy,,,,Economy,,,,
Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration,CCS,Fossil,Energy,,Energy,,CCS,Fossil,CCS
Price|Secondary Energy|Gases|Natural Gas,Price,Secondary Energy,Gases,Natural Gas,,Gas&Oil,Gas,Gas,Natural Gas,
Primary Energy|Biomass|Gases,Primary Energy,Biomass,Gases,,,Biomass,Gases,Gases,,
Emissions|BC|Other,Emissions,BC,Other,,,Gases,,Other,,
Emissions|NH3|Other,Emissions,NH3,Other,,,Gases,,Other,,
Export|Energy,Export,Energy,,,,Energy,,,,
Export|Other,Export,Other,,,,Export,,,,
Final Energy (excl. feedstocks)|Industry,Final Energy (excl. feedstocks),Industry,,,,Industry,,,,
Final Energy (excl. feedstocks)|Industry|Hydrogen,Final Energy (excl. feedstocks),Industry,Hydrogen,,,Industry,Hydrogen,,,
Final Energy (excl. feedstocks)|Industry|Solids|Bioenergy,Final Energy (excl. feedstocks),Industry,Solids,Bioenergy,,Industry,Solids,Bioenergy,,
Final Energy (excl. feedstocks)|Industry|Solids|Fossil,Final Energy (excl. feedstocks),Industry,Solids,Fossil,,Industry,Solids,Fossil,,
Investment|Energy Demand|Transportation|Passenger|Aviation,Investment,Energy Demand,Transportation,Passenger,Aviation,Transportation,,Passenger,Passenger,
Capacity|Hydrogen|Biomass,Capacity,Hydrogen,Biomass,,,Power,Hydrogen,Hydrogen - Biomass,,
Capacity|Hydrogen|Biomass|w/o CCS,Capacity,Hydrogen,Biomass,w/o CCS,,Power,Hydrogen,Hydrogen - Biomass,,w/o CCS
Expenditure|household|Services|health,Expenditure,household,Services,health,,,,,,
Population|Life expectancy,Population,Life expectancy,,,,,,,,
Population|Male,Population,Male,,,,,,,,
Population|Working Age,Population,Working Age,,,,,,,,
Resource|Extraction|Oil,Resource,Extraction,Oil,,,,,,,
Value Added|Services,Value Added,Services,,,,Services,,,,
Industrial Production|Index,Industrial Production,Index,,,,Industry,,,,
Capacity|Hydrogen|Biomass|w/ CCS,Capacity,Hydrogen,Biomass,w/ CCS,,Power,Hydrogen,Hydrogen - Biomass,,w/ CCS
Capacity|Hydrogen|Coal|w/ CCS,Capacity,Hydrogen,Coal,w/ CCS,,Power,Hydrogen,Hydrogen - Coal,,w/ CCS
Capital Cost|Hydrogen|Biomass|w/o CCS,Capital Cost,Hydrogen,Biomass,w/o CCS,,Biomass,Hydrogen,Biomass - w/o CCS,,w/o CCS
Capital Cost|Hydrogen|Coal|w/o CCS,Capital Cost,Hydrogen,Coal,w/o CCS,,Coal,Hydrogen,Coal - w/o CCS,,w/o CCS
Water Consumption|Electricity|Cooling Pond,Water Consumption,Electricity,Cooling Pond,,,Power,Cooling Pond,Cooling Pond,,
Water Consumption|Electricity|Other,Water Consumption,Electricity,Other,,,Power,Other,Other,Other,
Water Consumption|Electricity|Solar|CSP,Water Consumption,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,Solar,
Water Withdrawal|Electricity|Other,Water Withdrawal,Electricity,Other,,,Power,Other,Other,Other,
Water Withdrawal|Electricity|Solar|PV,Water Withdrawal,Electricity,Solar,PV,,Renewables,Solar,Solar - PV,Solar,
Carbon Sequestration|CCS|Biomass|Industrial Processes,Carbon Sequestration,CCS,Biomass,Industrial Processes,,Industrial Processes,,CCS,Biomass,CCS
Emissions|BC|Energy|Demand|Residential and Commercial|Residential,Emissions,BC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|N2O|Energy|Demand|Residential and Commercial|Commercial,Emissions,N2O,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|Sulfur|Energy|Demand|Residential and Commercial|Commercial,Emissions,Sulfur,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Industry|Cement|Solids,Final Energy,Industry,Cement,Solids,,Cement,Solids,,,
Final Energy|Industry|Chemicals|Ammonia|Gases|Fossil,Final Energy,Industry,Chemicals,Ammonia,Gases,Chemicals,Ammonia,Gases,,
Final Energy|Industry|Chemicals|High value chemicals|Electricity,Final Energy,Industry,Chemicals,High value chemicals,Electricity,Chemicals,High value chemicals,Electricity,,
Final Energy|Industry|Chemicals|Solids|Bioenergy,Final Energy,Industry,Chemicals,Solids,Bioenergy,Chemicals,Solids,Bioenergy,,
Final Energy|Industry|Other|Hydrogen,Final Energy,Industry,Other,Hydrogen,,Hydrogen,Energy Supply,,,
Final Energy|Transportation|Road|Passenger|Bus,Final Energy,Transportation,Road,Passenger,Bus,Transportation,Road,Passenger - Bus,,
Yield|Bioenergy|2nd generation,Yield,Bioenergy,2nd generation,,,Agriculture,Bioenergy,Bioenergy - 2nd generation,,
Expenditure Share|Food,Expenditure Share,Food,,,,,,,,
Fertilizer Use|Nitrogen|Biological Fixation|Symbiotic Crops,Fertilizer Use,Nitrogen,Biological Fixation,Symbiotic Crops,,Agriculture,,,,
Fertilizer Use|Nitrogen|Organic,Fertilizer Use,Nitrogen,Organic,,,Agriculture,,,,
Final Energy|Industry|Gases|Fossil,Final Energy,Industry,Gases,Fossil,,Industry,Fossil,Gas,,
Capacity|Transportation|Maritime|Passenger,Capacity,Transportation,Maritime,Passenger,,Transportation,Maritime,Passenger,,
Secondary Energy|Heat|Solar,Secondary Energy,Heat,Solar,,,Heat,Solar,Heat,,
Capacity|Liquids|Coal|w/ CCS,Capacity,Liquids,Coal,w/ CCS,,Power,Liquids,,Coal,w/ CCS
Primary Energy|Gas|Solids,Primary Energy,Gas,Solids,,,Gas&Oil,Gas,Gas - Solids,Solids,
Land Cover|Water Ecosystems|Wetlands|Peatlands,Land Cover,Water Ecosystems,Wetlands,Peatlands,,,,,,
Capacity|Liquids|Gas,Capacity,Liquids,Gas,,,Power,Liquids,,Gas,
Capital Cost|Gases|Coal|w/o CCS,Capital Cost,Gases,Coal,w/o CCS,,Coal,Gases,Coal - w/o CCS,,w/o CCS
Capital Cost|Liquids|Gas|w/ CCS,Capital Cost,Liquids,Gas,w/ CCS,,Gas&Oil,Gas,Gas - w/ CCS,,w/ CCS
Lifetime|Hydrogen|Coal|w/ CCS,Lifetime,Hydrogen,Coal,w/ CCS,,Hydrogen,Coal,Coal - w/ CCS,Coal,w/ CCS
OM Cost|Fixed|Gases|Biomass|w/o CCS,OM Cost,Fixed,Gases,Biomass,w/o CCS,Biomass,Gas,Biomass - w/o CCS,,w/o CCS
OM Cost|Fixed|Gases|Coal|w/o CCS,OM Cost,Fixed,Gases,Coal,w/o CCS,Coal,Gas,Coal - w/o CCS,,w/o CCS
OM Cost|Fixed|Hydrogen|Biomass|w/o CCS,OM Cost,Fixed,Hydrogen,Biomass,w/o CCS,Biomass,Hydrogen,Biomass - w/o CCS,,w/o CCS
OM Cost|Fixed|Hydrogen|Coal|w/ CCS,OM Cost,Fixed,Hydrogen,Coal,w/ CCS,Hydrogen,Coal,Coal - w/ CCS,,w/ CCS
Water Consumption|Heat|Geothermal,Water Consumption,Heat,Geothermal,,,Heat,Geothermal,Geothermal,Geothermal,
Water Consumption|Hydrogen|Biomass,Water Consumption,Hydrogen,Biomass,,,Hydrogen,Biomass,Biomass,Biomass,
Water Consumption|Hydrogen|Biomass|w/o CCS,Water Consumption,Hydrogen,Biomass,w/o CCS,,Hydrogen,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Water Consumption|Hydrogen|Coal|w/ CCS,Water Consumption,Hydrogen,Coal,w/ CCS,,Hydrogen,Coal,Coal - w/ CCS,Coal,w/ CCS
Water Consumption|Hydrogen|Fossil|w/o CCS,Water Consumption,Hydrogen,Fossil,w/o CCS,,Hydrogen,Fossil,Fossil - w/o CCS,Fossil,w/o CCS
Water Withdrawal|Hydrogen|Biomass|w/o CCS,Water Withdrawal,Hydrogen,Biomass,w/o CCS,,Hydrogen,Biomass,Biomass - w/o CCS,Biomass,w/o CCS
Water Withdrawal|Hydrogen|Coal|w/o CCS,Water Withdrawal,Hydrogen,Coal,w/o CCS,,Hydrogen,Coal,Coal - w/o CCS,Coal,w/o CCS
Water Withdrawal|Liquids|Gas,Water Withdrawal,Liquids,Gas,,,Liquids,Gas,Gas,Gas,
Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|CO2|Energy|Demand|Industry|Chemicals|Other,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Population|Poverty|LMIC poverty line,Population,Poverty,LMIC poverty line,,,,,,,
Population|Poverty|UMIC poverty line,Population,Poverty,UMIC poverty line,,,,,,,
Capacity |Electricity|Solar|PV|Rooftop PV,Capacity ,Electricity,Solar,PV,Rooftop PV,Renewables,Solar,Rooftop PV,,
Capacity|Heating|Electric boilers,Capacity,Heating,Electric boilers,,,Heating,Heating,Electric boilers,Electricity,
Capacity|Heating|Heat pumps,Capacity,Heating,Heat pumps,,,Heating,Heating,Heat pumps,Electricity,
Final Energy|Residential and Commercial|Commercial|Heating|Heat pumps,Final Energy,Residential and Commercial,Commercial,Heating,Heat pumps,Commercial,Heating,Heat pumps,,
Lifetime|Electricity|Solar|PV|Utility-scale PV,Lifetime,Electricity,Solar,PV,Utility-scale PV,Renewables,Solar,Solar - PV,Solar,
Energy Service|Residential and Commercial|Commercial|Education|Construction rate,Energy Service,Residential and Commercial,Commercial,Education,Construction rate,Residential and Commercial,Commercial,,,
Energy Service|Residential and Commercial|Residential|Construction,Energy Service,Residential and Commercial,Residential,Construction,,Residential and Commercial,Residential,,,
Energy Service|Residential and Commercial|Residential|Renovation rate,Energy Service,Residential and Commercial,Residential,Renovation rate,,Residential and Commercial,Residential,,,
Emissions|CO,Emissions,CO,,,,Gases,,,,
Emissions|CO|AFOLU,Emissions,CO,AFOLU,,,Gases,,AFOLU,,
Emissions|CO|Energy,Emissions,CO,Energy,,,Gases,,Energy,,
Emissions|HFC,Emissions,HFC,,,,Gases,,,,
Emissions|HFC|HFC227ea,Emissions,HFC,HFC227ea,,,Gases,,HFC227ea,,
Emissions|N2O|AFOLU,Emissions,N2O,AFOLU,,,Gases,,AFOLU,,
Emissions|NH3,Emissions,NH3,,,,Gases,,,,
Emissions|NH3|AFOLU,Emissions,NH3,AFOLU,,,Gases,,AFOLU,,
Emissions|NOx,Emissions,NOx,,,,Gases,,,,
Emissions|Sulfur|Energy|Supply,Emissions,Sulfur,Energy,Supply,,Gases,Supply,Energy,,
Emissions|VOC,Emissions,VOC,,,,Gases,,,,
Emissions|VOC|Energy|Supply,Emissions,VOC,Energy,Supply,,Gases,VOC,Energy Supply,,
Energy Service|Transportation|Freight|Navigation,Energy Service,Transportation,Freight,Navigation,,Transportation,Freight,,,
Final Energy|Industry|Heat,Final Energy,Industry,Heat,,,Heat,,,,
Final Energy|Residential and Commercial|Commercial|Solids|Biomass,Final Energy,Residential and Commercial,Commercial,Solids,Biomass,Commercial,Solids,Biomass,,
Final Energy|Residential and Commercial|Heat,Final Energy,Residential and Commercial,Heat,,,Heat,,,,
Final Energy|Transportation|Passenger|Liquids,Final Energy,Transportation,Passenger,Liquids,,Transportation,Passenger,Liquids,,
Forestry Demand|Roundwood,Forestry Demand,Roundwood,,,,Biomass,,,,
Land Cover|Other Land,Land Cover,Other Land,,,,,,,,
OM Cost|Fixed|Electricity|Nuclear,OM Cost,Fixed,Electricity,Nuclear,,Nuclear,Nuclear,Nuclear,,
Price|Agriculture|Non-Energy Crops and Livestock|Index,Price,Agriculture,Non-Energy Crops and Livestock,Index,,Agriculture,Non-Energy Crops and Livestock,,,
Price|Primary Energy|Coal,Price,Primary Energy,Coal,,,Coal,Coal,,Coal,
Primary Energy|Biomass|Liquids,Primary Energy,Biomass,Liquids,,,Biomass,Liquids,Liquids,,
Primary Energy|Biomass|Residues,Primary Energy,Biomass,Residues,,,Biomass,Residues,Residues,,
Primary Energy|Nuclear,Primary Energy,Nuclear,,,,Renewables,Nuclear,Nuclear,,
Primary Energy|Oil,Primary Energy,Oil,,,,Oil,Oil,,Oil,
Secondary Energy|Electricity,Secondary Energy,Electricity,,,,Power,,,,
Secondary Energy|Electricity|Biomass,Secondary Energy,Electricity,Biomass,,,Power,Biomass,Biomass,,
Secondary Energy|Electricity|Curtailment,Secondary Energy,Electricity,Curtailment,,,Power,Curtailment,Curtailment,,
Secondary Energy|Electricity|Fossil,Secondary Energy,Electricity,Fossil,,,Power,Fossil,Fossil,,
Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,,w/ CCS
Secondary Energy|Heat|Oil,Secondary Energy,Heat,Oil,,,Heat,Oil,Heat,,
Value Added|Agriculture,Value Added,Agriculture,,,,Agriculture,,,,
Water Consumption|Electricity|Biomass|w/ CCS,Water Consumption,Electricity,Biomass,w/ CCS,,Biomass,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Water Withdrawal|Electricity|Coal|w/ CCS,Water Withdrawal,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Water Withdrawal|Electricity|Wind,Water Withdrawal,Electricity,Wind,,,Renewables,Wind,Wind,Wind,
Capacity Additions|Electricity|Biomass,Capacity Additions,Electricity,Biomass,,,Power,Biomass,Biomass,Biomass,
Capacity Additions|Electricity|Wind,Capacity Additions,Electricity,Wind,,,Power,Wind,Wind,Wind,
Capacity|Electricity|Hydro,Capacity,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Capacity|Electricity|Solar,Capacity,Electricity,Solar,,,Power,Solar,,Solar,
Capital Cost|Liquids|Biomass|w/ CCS,Capital Cost,Liquids,Biomass,w/ CCS,,Biomass,Liquids,Biomass - w/ CCS,,w/ CCS
Carbon Sequestration|CCS|Fossil|Energy|Supply,Carbon Sequestration,CCS,Fossil,Energy,Supply,Energy,Supply,CCS,Fossil,CCS
Capital Cost|Electricity|Geothermal,Capital Cost,Electricity,Geothermal,,,Renewables,Geothermal,Geothermal,,
Emissions|CO2|Energy|Demand|Commercial,Emissions,CO2,Energy,Demand,Commercial,Commercial,Demand,Energy,,
Final Energy|Commercial,Final Energy,Commercial,,,,Commercial,,,,
Final Energy|Residential,Final Energy,Residential,,,,Residential and Commercial,Residential,,,
Agricultural Demand|Livestock|Other,Agricultural Demand,Livestock,Other,,,Agriculture,Livestock,Other,,
Emissions|PFC|C2F6,Emissions,PFC,C2F6,,,Gases,PFC,C2F6,,
Emissions|Sulfur|Energy|Demand|Residential and Commercial,Emissions,Sulfur,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
OM Cost|Fixed|Electricity|Gas|w/ CCS,OM Cost,Fixed,Electricity,Gas,w/ CCS,Power,Gas,Gas - w/ CCS,,w/ CCS
Primary Energy|Biomass|Modern|w/ CCS,Primary Energy,Biomass,Modern,w/ CCS,,Biomass,Modern,Modern - w/ CCS,,w/ CCS
Yield|Oilcrops,Yield,Oilcrops,,,,Agriculture,Oilcrops,Oilcrops,,
Cumulative Capacity|Electricity|Solar,Cumulative Capacity,Electricity,Solar,,,Renewables,Solar,Solar,Solar,
Population|Urban,Population,Urban,,,,,,,,
Emissions|CH4|Other,Emissions,CH4,Other,,,Gases,CH4,Other,,
Production|Chemicals,Production,Chemicals,,,,Industry,,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases,Carbon Sequestration,CCS,Biomass,Energy,Supply,Energy,Supply,CCS,Biomass,CCS
Carbon Sequestration|CCS|Fossil|Energy|Supply|Gases,Carbon Sequestration,CCS,Fossil,Energy,Supply,Energy,Supply,CCS,Fossil,CCS
Emissions|CO2|Energy|Supply|Liquids,Emissions,CO2,Energy,Supply,Liquids,Liquids,Supply,Energy,,
Lifetime|Electricity|Solar|PV,Lifetime,Electricity,Solar,PV,,Renewables,Solar,Solar - PV,Solar,
Secondary Energy|Electricity|Ocean,Secondary Energy,Electricity,Ocean,,,Power,Ocean,Ocean,,
Secondary Energy|Hydrogen|Gas,Secondary Energy,Hydrogen,Gas,,,Hydrogen,Gas,Hydrogen,,
Secondary Energy|Hydrogen|Gas|w/ CCS,Secondary Energy,Hydrogen,Gas,w/ CCS,,Hydrogen,Gas,Hydrogen - w/ CCS,,w/ CCS
Secondary Energy|Liquids|Coal,Secondary Energy,Liquids,Coal,,,Liquids,Coal,Liquids,,
Secondary Energy|Liquids|Coal|w/ CCS,Secondary Energy,Liquids,Coal,w/ CCS,,Liquids,Coal,Liquids - w/ CCS,,w/ CCS
Secondary Energy|Liquids|Gas|w/ CCS,Secondary Energy,Liquids,Gas,w/ CCS,,Liquids,Gas,Liquids - w/ CCS,,w/ CCS
Secondary Energy|Liquids|Gas|w/o CCS,Secondary Energy,Liquids,Gas,w/o CCS,,Liquids,Gas,Liquids - w/o CCS,,w/o CCS
Secondary Energy|Liquids|Other,Secondary Energy,Liquids,Other,,,Liquids,Other,Liquids,,
Investment|Energy Demand|Transportation|Freight|Road|HDT|FCV,Investment,Energy Demand,Transportation,Freight,Road,Transportation,,Freight,Freight,
Production|Non-ferrous metals,Production,Non-ferrous metals,,,,Industry,,,,
Value Added|Residential and Commercial|Commercial,Value Added,Residential and Commercial,Commercial,,,Residential and Commercial,Commercial,,,
Price|Final Energy|Residential and Commercial|Residential|Solids|Coal,Price,Final Energy,Residential and Commercial,Residential,Solids,Residential and Commercial,Residential,Residential - Solids,Coal,
Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation,Emissions,CH4,AFOLU,Agriculture,Livestock,Livestock,Agriculture,AFOLU,,
Emissions|CO2|Energy|Demand|Transportation|Aviation|Passenger,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Passenger|Road|2W and 3W,Energy Service,Transportation,Passenger,Road,2W and 3W,Transportation,Passenger,,,
Final Energy|Transportation|Aviation,Final Energy,Transportation,Aviation,,,Transportation,Aviation,,,
Trade|Primary Energy|Gas|Value,Trade,Primary Energy,Gas,Value,,Gas&Oil,Gas,,Gas,
Investment|Energy Supply|Extraction|Uranium,Investment,Energy Supply,Extraction,Uranium,,Extraction,,Uranium,Uranium,
Final Energy|Residential and Commercial|Residential|Heating|Space,Final Energy,Residential and Commercial,Residential,Heating,Space,Residential,Heating,Space,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Space,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Residential and Commercial|Heating|Space,Final Energy,Residential and Commercial,Heating,Space,,Heating,Space,,,
Trade|Energy|Volume,Trade,Energy,Volume,,,Energy,,,,
Investment|Energy Supply|Other,Investment,Energy Supply,Other,,,Investment,Energy Supply,,,
Price|Final Energy|Transportation|Hydrogen,Price,Final Energy,Transportation,Hydrogen,,Transportation,Hydrogen,Hydrogen,Hydrogen,
Price|Final Energy|Transportation|Liquids,Price,Final Energy,Transportation,Liquids,,Transportation,Liquids,Liquids,,
Emissions|NOx|Other,Emissions,NOx,Other,,,Gases,NOx,Other,,
Emissions|VOC|Other,Emissions,VOC,Other,,,Gases,VOC,Other,,
Employment|Service,Employment,Service,,,,Service,,,,
Employment|Industry|Manufacturing,Employment,Industry,Manufacturing,,,Industry,Manufacturing,,,
Expenditure|household|Industry,Expenditure,household,Industry,,,Industry,,,,
Investment|Energy Demand|Transportation|Freight|Railways,Investment,Energy Demand,Transportation,Freight,Railways,Transportation,,Freight,Freight,
Investment|Energy Demand|Transportation|Passenger|Railways,Investment,Energy Demand,Transportation,Passenger,Railways,Transportation,,Passenger,Passenger,
Cumulative Capacity|Hydrogen|Electricity,Cumulative Capacity,Hydrogen,Electricity,,,Power,Hydrogen,Electricity,Electricity,
Transport|Stock|Road|Passenger,Transport,Stock,Road,Passenger,,Transportation,Road,Passenger,,
Transport|Stock|Road|Passenger|2W&3W,Transport,Stock,Road,Passenger,2W&3W,Transportation,Road,Passenger - 2W&3W,,
Efficiency|Liquids|Oil,Efficiency,Liquids,Oil,,,Gas&Oil,Liquids,Oil,Oil,
OM Cost|Fixed|Electricity|Solar|CSP,OM Cost,Fixed,Electricity,Solar,CSP,Renewables,Solar,Solar - CSP,,
Labour Supply,Labour Supply,,,,,,,,,
Trade|Terms,Trade,Terms,,,,,,,,
Land Cover|Forest|Afforestation and Reforestation,Land Cover,Forest,Afforestation and Reforestation,,,,,,,
Cumulative Capacity|Hydrogen|Biomass|w/ CCS,Cumulative Capacity,Hydrogen,Biomass,w/ CCS,,Power,Hydrogen,Biomass - w/ CCS,Biomass,w/ CCS
Primary Energy|Oil|Hydrogen,Primary Energy,Oil,Hydrogen,,,Oil,Oil,Oil - Hydrogen,Hydrogen,
Subsidies|Energy,Subsidies,Energy,,,,Energy,,,,
Carbon Sequestration|Feedstocks,Carbon Sequestration,Feedstocks,,,,,,Feedstocks,,
Emissions|CH4|Energy|Demand|Residential and Commercial|Residential,Emissions,CH4,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|CO2|Industrial Processes|Steel,Emissions,CO2,Industrial Processes,Steel,,,Steel,Industrial Processes,,
Emissions|N2O|Energy|Demand|Residential and Commercial|Residential,Emissions,N2O,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|N2O|Energy|Demand|Transportation,Emissions,N2O,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|VOC|Energy|Demand|Residential and Commercial|Commercial,Emissions,VOC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Industry|Cement|Heat,Final Energy,Industry,Cement,Heat,,Cement,Heat,,,
Final Energy|Industry|Chemicals|Ammonia|Solids|Fossil,Final Energy,Industry,Chemicals,Ammonia,Solids,Chemicals,Ammonia,Solids,,
Final Energy|Industry|Chemicals|High value chemicals|Liquids|Fossil,Final Energy,Industry,Chemicals,High value chemicals,Liquids,Chemicals,High value chemicals,Liquids,,
Final Energy|Industry|Chemicals|Liquids|Bioenergy,Final Energy,Industry,Chemicals,Liquids,Bioenergy,Chemicals,Liquids,Bioenergy,,
Final Energy|Industry|Other|Liquids|Fossil,Final Energy,Industry,Other,Liquids,Fossil,Industry,Liquids,Fossil,Fossil,
Price|Agriculture|Livestock|Index,Price,Agriculture,Livestock,Index,,Agriculture,Livestock,,,
Expenditure|RnD,Expenditure,RnD,,,,,,,,
Investment|RnD|Energy Supply,Investment,RnD,Energy Supply,,,Energy Supply,,,,
Employment|Industry|Mining,Employment,Industry,Mining,,,Industry,Mining,,,
Emissions|NH3|Waste,Emissions,NH3,Waste,,,,,Waste,,
Investment|Energy Supply|Liquids|Coal and Gas,Investment,Energy Supply,Liquids,Coal and Gas,,Liquids,,Coal and Gas,Coal and Gas,
Population|Prevalence of overweight|Children,Population,Prevalence of overweight,Children,,,,,,,
Energy Service|Residential and Commercial|Residential|Multi-family|Construction,Energy Service,Residential and Commercial,Residential,Multi-family,Construction,Residential and Commercial,Residential,,,
Forcing|CO2,Forcing,CO2,,,,,,,,
Final Energy|Transportation|Freight|Liquids|Biomass,Final Energy,Transportation,Freight,Liquids,Biomass,Transportation,Freight,Liquids - Biomass,,
Final Energy|Industry|Liquids|Fossil,Final Energy,Industry,Liquids,Fossil,,Liquids,Fossil,,,
Final Energy|Transportation|Freight|Gases|Fossil,Final Energy,Transportation,Freight,Gases,Fossil,Transportation,Freight,Gases - Fossil,,
Revenue|government,Revenue,government,,,,,,,,
Capacity|Transportation|Maritime|Freight,Capacity,Transportation,Maritime,Freight,,Transportation,Maritime,Freight,,
Efficiency|Hydrogen|Gas|w/o CCS,Efficiency,Hydrogen,Gas,w/o CCS,,Gas&Oil,Gas,Hydrogen - w/o CCS,Gas,w/o CCS
Emissions|CO2|Energy|Demand|Transportation|Maritime|Passenger,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Capacity|Liquids|Gas|w/o CCS,Capacity,Liquids,Gas,w/o CCS,,Power,Liquids,,Gas,w/o CCS
Cumulative Capacity|Gases|Biomass|w/o CCS,Cumulative Capacity,Gases,Biomass,w/o CCS,,Power,Gases,Biomass - w/o CCS,Biomass,w/o CCS
Cumulative Capacity|Liquids|Coal|w/ CCS,Cumulative Capacity,Liquids,Coal,w/ CCS,,Power,Liquids,Coal - w/ CCS,Coal,w/ CCS
Cumulative Capacity|Liquids|Coal|w/o CCS,Cumulative Capacity,Liquids,Coal,w/o CCS,,Power,Liquids,Coal - w/o CCS,Coal,w/o CCS
Cumulative Capacity|Liquids|Coal,Cumulative Capacity,Liquids,Coal,,,Power,Liquids,Coal,Coal,
Efficiency|Gases|Coal|w/o CCS,Efficiency,Gases,Coal,w/o CCS,,Coal,Gases,Gases,Coal,w/o CCS
Efficiency|Liquids|Coal|w/ CCS,Efficiency,Liquids,Coal,w/ CCS,,Coal,Liquids,Coal - w/ CCS,Coal,w/ CCS
Water Consumption|Gases|Coal,Water Consumption,Gases,Coal,,,Coal,Gases,Coal,Coal,
Water Consumption|Heat|Coal,Water Consumption,Heat,Coal,,,Heat,Coal,Coal,Coal,
Water Consumption|Liquids|Biomass,Water Consumption,Liquids,Biomass,,,Liquids,Biomass,Biomass,Biomass,
Water Consumption|Liquids|Coal|w/ CCS,Water Consumption,Liquids,Coal,w/ CCS,,Liquids,Coal,Coal - w/ CCS,Coal,w/ CCS
Water Withdrawal|Extraction|Gas,Water Withdrawal,Extraction,Gas,,,Extraction,Gas,Gas,Gas,
Water Withdrawal|Extraction|Uranium,Water Withdrawal,Extraction,Uranium,,,Extraction,Uranium,Uranium,Uranium,
Water Withdrawal|Heat|Geothermal,Water Withdrawal,Heat,Geothermal,,,Heat,Geothermal,Geothermal,Geothermal,
Water Withdrawal|Hydrogen|Fossil|w/ CCS,Water Withdrawal,Hydrogen,Fossil,w/ CCS,,Hydrogen,Fossil,Fossil - w/ CCS,Fossil,w/ CCS
Water Withdrawal|Hydrogen|Gas|w/ CCS,Water Withdrawal,Hydrogen,Gas,w/ CCS,,Hydrogen,Gas,Gas - w/ CCS,Gas,w/ CCS
Water Withdrawal|Hydrogen|Gas|w/o CCS,Water Withdrawal,Hydrogen,Gas,w/o CCS,,Hydrogen,Gas,Gas - w/o CCS,Gas,w/o CCS
Water Withdrawal|Liquids|Gas|w/ CCS,Water Withdrawal,Liquids,Gas,w/ CCS,,Liquids,Gas,Gas - w/ CCS,Gas,w/ CCS
Employment|High Skills,Employment,High Skills,,,,High Skills,,,,
Final Energy|Industry|Electricity|Share,Final Energy,Industry,Electricity,Share,,Industry,Share,,,
Inequality|Bottom 40% average income|Ratio,Inequality,Bottom 40% average income,Ratio,,,,,,,
Water Consumption|Electricity w/o Hydro,Water Consumption,Electricity w/o Hydro,,,,Power,Electricity w/o Hydro,,Hydro,
